,GLOBAL STATUS OF EVANGELICAL CHRISTIANITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Listing of Unreached People Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,August 2022 - Data as of 09/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,*UPGs for the USA and Canada are included.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEID,Affinity Bloc,People Cluster,Continent,Sub-Continent,Country,Country of Origin,People Group,Global Status of  Evangelical Christianity,Evangelical Engagement,Population,Dispersed (Yes/No),ROL,Language,Religion,Nomadic,Nomadic Type,Nomadic Description,Published Scripture,Jesus Film,Radio Broadcast,Gospel Recording,Audio Scripture,Gospel Films,The HOPE,Resources,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,ROP PeopleName,GENC,FIPS,FIPS of Origin,Latitude,Longitude,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index
49404,Arab World,"Arab World, generic",Europe,Western Europe,France,Without Homeland,North Africans,1,Yes,"2,060,000",,ary,Moroccan Arabic - (ary),Islam - Sunni,,,,Yes,Yes,No,Yes,No,Yes,No,4,Little,Free,Moderate,High,Level 2: Exercise increased caution,A001,C0237,117251,"North African, general",FRA,FR,,48.8567,2.3508,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached
24493,Arab World,"Arab World, generic",Asia,Central Asia,Tajikistan,Afghanistan,Arab,1,Yes,"2,500",Yes,abh,Tajiki Arabic - (abh),Islam - Sunni,,,,Yes,No,No,Yes,No,No,No,2,Strenuous,Not Free,High,Moderate,Level 1: Exercise normal precautions,A001,C0237,109734,"Arab, Tajiki",TJK,TI,AF,37.345832,68.128981,Central Asian Peoples,,1,Engaged yet Unreached
17321,Arab World,"Arab, Arabian",Americas,South America,Argentina,Without Homeland,Arab,1,Yes,"1,590,000",Yes,spa,Spanish - (spa),Islam - Sunni,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,6,Low,Free,Low,Low,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,ARG,AR,,-34.5878,-58.4869,Northern African and Middle Eastern Peoples,,1,Engaged yet Unreached
7830,Arab World,"Arab, Arabian",Oceania,Australia and New Zealand,Australia,Without Homeland,Arab,2,No,"152,000",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,No,4,Little,Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,AUS,AS,,-33.897339,151.244671,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached
4,Arab World,"Arab, Arabian",Europe,Western Europe,Austria,Without Homeland,Arab,1,No,"100,000",Yes,arb,Standard Arabic - (arb),Islam - Sunni,,,,Yes,Yes,No,Yes,Yes,No,No,4,Little,Free,Moderate,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,AUT,AU,,48.200779,16.351657,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached
