,GLOBAL STATUS OF EVANGELICAL CHRISTIANITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unreached Unengaged People Groups 100K or Greater,,,,,,,,,*Added this month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,August 2022 - Data as of 09/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEID,Affinity Bloc,People Cluster,Continent,Sub-Continent,Country,Country of Origin,People Group,Global Status of  Evangelical Christianity,ROL,Language,Religion,Nomadic,Nomadic Type,Nomadic Description,Population,Dispersed (Yes/No),Published Scripture,Jesus Film,Radio Broadcast,Gospel Recording,Audio Scripture,Gospel Films,The HOPE,Resources,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Latitude,Longitude,Addition,Addition Date,Addition Reasons,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index
7830,Arab World,"Arab, Arabian",Oceania,Australia and New Zealand,Australia,Without Homeland,Arab,2,arb,Standard Arabic - (arb),Islam - Sunni,,,," 152,000 ", Yes ,Yes,Yes,No,Yes,Yes,No,No,4,Little,Free,Low,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,AUS,AS,,-33.897339,151.244671,Yes,2/1/14,No Longer Engaged,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached
4,Arab World,"Arab, Arabian",Europe,Western Europe,Austria,Without Homeland,Arab,1,arb,Standard Arabic - (arb),Islam - Sunni,,,," 100,000 ", Yes ,Yes,Yes,No,Yes,Yes,No,No,4,Little,Free,Moderate,Moderate,Level 1: Exercise normal precautions,A001,C0013,100425,Arab,AUT,AU,,48.200779,16.351657,Yes,8/1/22,"Population Increased to 100,000",Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached
42660,Arab World,"Arab, Arabian",Asia,Western Asia,Bahrain,United Arab Emirates,"Arab, Bahraini Sunni",1,abv,Baharna Arabic - (abv),Islam - Sunni,,,," 120,000 ", Yes ,Yes,No,No,No,No,No,No,1,Low,Not Free,Moderate,High,Level 1: Exercise normal precautions,A001,C0013,118859,"Arab, Bahraini, Sunni",BHR,BA,AE,26.136371,50.60272,No,9/1/14,"Population Increased to 100,000",Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached
11890,Arab World,"Arab, Arabian",Asia,Western Asia,Oman,United Arab Emirates,Omani Bedouin,1,afb,Gulf Arabic - (afb),Islam - Sunni,,,," 816,000 ", Yes ,Yes,Yes,No,Yes,No,No,No,3,Low,Not Free,High,Low,Level 1: Exercise normal precautions,A001,C0013,100427,"Arab, Gulf",OMN,MU,AE,23.6683,58.1943,No,12/1/19,No Longer Engaged,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached
6321,Arab World,"Arab, Arabian",Asia,Southern Asia,Pakistan,Without Homeland,Arab,1,arb,Standard Arabic - (arb),Islam - Sunni,,,," 228,000 ", Yes ,Yes,Yes,No,Yes,Yes,No,No,4,Strenuous,Partly Free,High,Very High,Level 3: Reconsider travel,A001,C0013,100425,Arab,PAK,PK,,24.909655,67.06246,No,6/1/19,"Population Increased to 100,000",Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached
